Song,Artist
New Kid in School,The Donnas
Take It Off,The Donnas
Light My Fire,The Doors
Riders on the Storm,The Doors
Touch Me,The Doors
Through the Fire and Flames,DragonForce
"Metropolis - Part 1 ""The Miracle And the Sleeper""",Dream Theater
Panic Attack,Dream Theater
Don't Start Now,Dua Lipa
Knock Em Down,Duck & Cover
Two Shots,Duck & Cover
Hungry Like the Wolf,Duran Duran
RudeBoys,Dutch Rebelle
September,"Earth, Wind & Fire"
Shining Star,"Earth, Wind & Fire"
Albert,Eddie Japan
Body Like That,The Eiffels
Crocodile Rock,Elton John
Pump It Up,Elvis Costello
Suspicious Minds,Elvis Presley
I Wanna Be Your Man,Endeverafter
A Little Respect,Erasure
The Flood,Escape The Fate
The Final Countdown,Europe
Bring Me to Life,Evanescence
Real Wild Child,Everlife
Epic,Faith No More
F.C.P.R.E.M.I.X.,The Fall Of Troy
"A Little Less Sixteen Candles, a Little More ""Touch Me""",Fall Out Boy
Centuries,Fall Out Boy
"Dance, Dance",Fall Out Boy
Dead on Arrival,Fall Out Boy
I Don't Care,Fall Out Boy
I Wanna Dance with Somebody (Made famous by Whiteney Houston),Fall Out Boy
"Sugar, We're Goin Down",Fall Out Boy
"This Ain't a Scene, It's an Arms Race",Fall Out Boy
Thnks fr th Mmrs,Fall Out Boy
Go Your Own Way,Fleetwood Mac
You Make Loving Fun,Fleetwood Mac
Handlebars,Flobots
Vinyl,Fly By Midnight
I'm So Sick,Flyleaf
Breakout,Foo Fighters
Everlong,Foo Fighters
Learn to Fly,Foo Fighters
Monkey Wrench,Foo Fighters
My Hero,Foo Fighters
The Feast and the Famine,Foo Fighters
I Want to Know What Love Is,Foreigner
Pumped Up Kicks,Foster the People
Stacy's Mom,Fountains Of Wayne
Take Me Out,Franz Ferdinand
Brainpower,Freezepop
Doppelgänger,Freezepop
Less Talk More Rokk,Freezepop
Sprode,Freezepop
We Are Young,Fun. ft. Janelle Monáe
I Think I'm Paranoid,Garbage
Ain't Messin' Round,Gary Clark Jr.
Ashes to Fire,Ghost Hounds
Follow You Down,Gin Blossoms
Still Alive,Glados
Bethany,Goddamn Draculas
I Stand Alone,Godsmack
We Got the Beat,Go-Go's
Superman,Goldfinger
Girls & Boys,Good Charlotte
The Anthem,Good Charlotte
Clint Eastwood,Gorillaz
Feel Good Inc.,Gorillaz
Alabama Getaway,The Grateful Dead
Cheat on the Church,Graveyard Bbq
21 Guns,Green Day
American Idiot,Green Day
Basket Case,Green Day
Boulevard of Broken Dreams,Green Day
Burnout,Green Day
Chump,Green Day
Coming Clean,Green Day
East Jesus Nowhere,Green Day
Emenius Sleepus,Green Day
F.O.D.,Green Day
Having a Blast,Green Day
In the End,Green Day
Know Your Enemy,Green Day
Longview,Green Day
Pulling Teeth,Green Day
Sassafras Roots,Green Day
She,Green Day
Welcome to Paradise,Green Day
When I Come Around,Green Day
Tongue Tied,Grouplove
American Woman,The Guess Who
End of the World,Gulfer
Shackler's Revenge,Guns N' Roses
Mind Rider,Hail The Sun
I Miss The Misery,Halestorm
Flagpole Sitta,Harvey Danger
D.O.A.,The Haunted
Barracuda,Heart
Crazy On You,Heart
Kick It Out,Heart
Magic Man,Heart
I Am Electric,Heaven's Basement
"Die, All Right!",The Hives
Main Offender,The Hives
Tick Tick Boom,The Hives
Celebrity Skin,Hole
Young,Hollywood Undead
I Get By,Honest Bob And The Factory-To-Dealer Incentives
Soy Bomb,Honest Bob And The Factory-To-Dealer Incentives
Crawling in the Dark,Hoobastank
The Reason,Hoobastank
Only Wanna Be With You,Hootie & The Blowfish
Bandages,Hot Hot Heat
Shy,Hunny
The Passenger,Iggy Pop
I Bet My Life,Imagine Dragons
Dig,Incubus
Stellar,Incubus
PDA,Interpol
Bloodhands (Oh My Fever),In The Valley Below
"Flightless Bird, American Mouth",Iron & Wine
ABC,The Jackson 5
I Want You Back,The Jackson 5
Lazaretto,Jack White
Get Up (I Feel Like Being a) Sex Machine,James Brown
Mountain Song,Jane's Addiction
I'm Yours,Jason Mraz
Recession,Jeff Allen Ft. Noelle Leblanc And Naoko Takamoto
This Will Be The Day,Jeff Williams Ft. Casey Lee Williams
Are You Gonna Be My Girl,Jet
Aqualung,Jethro Tull
Fire,The Jimi Hendrix Experience
Bleed American,Jimmy Eat World
Pain,Jimmy Eat World
Sweetness,Jimmy Eat World
The Middle,Jimmy Eat World
Bad Reputation,Joan Jett
I Hate Myself For Loving You,Joan Jett And The Blackhearts
Embedded,Job For A Cowboy
Shame,Jocelyn & Chris Arndt
Cold Clear Light,Johnny Blazes And The Pretty Boys
Don't Stop Believin',Journey
Halls of Valhalla,Judas Priest
Painkiller,Judas Priest
Hurry Up (& Wait For You),Julie Rhodes
Ruby,Kaiser Chiefs
Carry On Wayward Son,Kansas
Walking on Sunshine,Katrina And The Waves
Mr. Brightside,The Killers
Smile Like You Mean It,The Killers
Somebody Told Me,The Killers
When You Were Young,The Killers
My Curse,Killswitch Engage
Crawl,Kings Of Leon
Molly's Chambers,Kings Of Leon
Sex on Fire,Kings Of Leon
Use Somebody,Kings Of Leon
Detroit Rock City,Kiss
Rock and Roll All Nite (Live),Kiss
My Sharona (As Made Famous By),The Knack
29 Fingers,The Konks
Naïve,The Kooks
Falling Away from Me,Korn
Freak on a Leash,Korn
Word Up!,Korn
Suddenly I See,Kt Tunstall
The Feeling,Kutless
Pretend We're Dead,L7
Our Truth,Lacuna Coil
Need You Now,Lady Antebellum
Bad Romance,Lady Gaga
Just Dance,Lady Gaga
Monster,Lady Gaga
Poker Face,Lady Gaga
Laid to Rest,Lamb Of God
Are You Gonna Go My Way,Lenny Kravitz
If I Ain't Got You,The Len Price 3
"I'm Gone, I'm Going",Lesley Roy
Here & Now,Letters To Cleo
Welcome to the Neighborhood,Libyans
Hanging By A Moment,Lifehouse
Dream Genie,Lightning Bolt
Dreaming of Love,Lights Resolve
Nookie,Limp Bizkit
Rollin' (Air Raid Vehicle),Limp Bizkit
Crawling,Linkin Park
In the End,Linkin Park
Numb,Linkin Park
One Step Closer,Linkin Park
My Own Worst Enemy,Lit
Little White Church,Little Big Town
Casablanca,Littlefoot
All Over You,Live
La Bamba,Los Lobos
Rooftops (A Liberation Broadcast),Lostprophets
Turn It Around,Lucius
De-Luxe,Lush
That Smell,Lynyrd Skynyrd
Rude,Magic!
A Jagged Gorgeous Winter,The Main Drag
How We'd Look on Paper,The Main Drag
Uptown Funk,Mark Ronson Ft. Bruno Mars
Makes Me Wonder,Maroon 5
This Love,Maroon 5
Wake Up Call,Maroon 5
Colony of Birchmen,Mastodon
Jamie All Over,Mayday Parade
Peace Sells,Megadeth
Ride the Lightning,Metallica
Kids,MGMT
Cross That Line,Michael Christmas
All You Wanted,Michelle Branch
The Impression That I Get,The Mighty Mighty Bosstones
Where'd You Go?,The Mighty Mighty Bosstones
7 Things,Miley Cyrus
Can't Be Tamed,Miley Cyrus
See You Again,Miley Cyrus
Start All Over,Miley Cyrus
Headphones On,Miranda Cosgrove
Float On,Modest Mouse
Flirtin' with Disaster,Molly Hatchet
Girl Scout Cookies,Mom Jeans.
Last Train to Clarksville,The Monkees
This Is How We Do It,Montell Jordan
Time We Had,The Mother Hips
Ace of Spades '08,Motörhead
Mississippi Queen,Mountain
Kids in America,The Muffs
The Wolf,Mumford & Sons
Hysteria,Muse
Control,Mute Math
Typical,Mute Math
Helena,My Chemical Romance
I'm Not Okay (I Promise),My Chemical Romance
Welcome to the Black Parade,My Chemical Romance
Torn,Natalie Imbruglia
Unwritten,Natasha Bedingfield
Black Streak,Nemes
Animal,Neon Trees
Don't Let Her Go,Newfane
I Recognize,Newfane
All Downhill From Here,New Found Glory
My Friends Over You,New Found Glory
Bizarre Love Triangle,New Order
Electric Version,The New Pornographers
Who's Your Lover,Nightmare Air
Break My Heart,Nikko
The Hand That Feeds,Nine Inch Nails
Drain You,Nirvana
Heart-Shaped Box,Nirvana
In Bloom,Nirvana
Rape Me,Nirvana
Smells Like Teen Spirit,Nirvana
Bathwater,No Doubt
Don't Speak,No Doubt
Excuse Me Mr.,No Doubt
Ex-Girlfriend,No Doubt
Hella Good,No Doubt
Hey Baby,No Doubt
It's My Life,No Doubt
Just a Girl,No Doubt
New,No Doubt
Running,No Doubt
Simple Kind of Life,No Doubt
Spiderwebs,No Doubt
Sunday Morning,No Doubt
Underneath It All,No Doubt
Spirit in the Sky,Norman Greenbaum
Radio,No Small Children
Champagne Supernova,Oasis
Don't Look Back In Anger,Oasis
Wonderwall,Oasis
All I Want,The Offspring
Come Out and Play (Keep 'Em Separated),The Offspring
Pretty Fly (For a White Guy),The Offspring
Self Esteem,The Offspring
The Kids Aren't Alright,The Offspring
"You're Gonna Go Far, Kid",The Offspring
Here It Goes Again,Ok Go
Like No Surprise,Oldsoul
good 4 u,Olivia Rodrigo
Best Song Ever,One Direction
Stop and Stare,Onerepublic
Burn You Down,Opiate For The Masses
The Title Track,Origami Angel
Time For Crime,Orion
Your Love,The Outfield
Green Grass and High Tides (As Made Famous By),The Outlaws
Miracle Man,Ozzy Osbourne
I Write Sins Not Tragedies,Panic At The Disco
Nine in the Afternoon,Panic At The Disco
Last Resort,Papa Roach
Ain't It Fun,Paramore
Brick by Boring Brick,Paramore
Crushcrushcrush,Paramore
Ignorance,Paramore
Misery Business,Paramore
Pressure,Paramore
Still Into You,Paramore
That's What You Get,Paramore
The Only Exception,Paramore
Sweater Weather,Parks
Never Let 'Em Hold Ya Back!,Parlour Bells
True Confessional,Party Bois
Alive,Pearl Jam
Mean Girls,Petty Morals
Caraphernelia,Pierce The Veil
Circles,Pierce The Veil
King For A Day (ft. Kellin Quinn),Pierce The Veil
Pass the Nirvana,Pierce The Veil
So What,Pink
Wave of Mutilation,Pixies
Every Breath You Take,The Police
Every Little Thing She Does Is Magic,The Police
Message in a Bottle,The Police
Next to You,The Police
Roxanne,The Police
Circles,Post Malone
Love That Hurts,Preachervan
Lump,The Presidents Of The United States Of America
Crash,The Primitives
Cosmic Thrill Seeking Forever,Prince Daddy & The Hyena
I'm Gonna Be (500 Miles),The Proclaimers
Light Up The Night,The Protomen
Blurry,Puddle of Mudd
She Hates Me,Puddle of Mudd
We Are the Champions,Queen
We Will Rock You,Queen
Go with the Flow,Queens Of The Stone Age
My God Is The Sun,Queens Of The Stone Age
"Sick, Sick, Sick",Queens Of The Stone Age
Run With You,Radio Compass
Creep,Radiohead
Testify,Rage Against The Machine
Blitzkrieg Bop,Ramones
I Wanna Be Sedated,Ramones
Last One to Die,Rancid
Ruby Soho,Rancid
Time Bomb,Rancid
Life Is a Highway,Rascal Flatts
Round and Round,Ratt
Masquerader,Ravi Shavi
Ghostbusters,Ray Parker Jr.
Stumble and Fall,Razorlight
Come and Get Your Love,Redbone
Hour of Rats,The Red Chord
Dani California,Red Hot Chili Peppers
Snow ((Hey Oh)),Red Hot Chili Peppers
Tell Me Baby,Red Hot Chili Peppers
Under the Bridge,Red Hot Chili Peppers
Take On Me,Reel Big Fish
It's the End of the World as We Know It,R.E.M.
Orange Crush,R.E.M.
The One I Love,R.E.M.
Alex Chilton,The Replacements
Never Gonna Give You Up,Rick Astley
"Rock and Roll, Hoochie Koo",Rick Derringer
Super Freak,Rick James
Give It All,Rise Against
Prayer of the Refugee,Rise Against
Re-Education (Through Labor),Rise Against
Savior,Rise Against
Gimme Shelter,The Rolling Stones
Pain Killer,Ruby Rose Fox
Skydiver,Ruby Rose Fox
Cherry Bomb (As Made Famous By),The Runaways
A Passage To Bangkok,Rush
The Trees (Vault Edition),Rush
Tom Sawyer (As Made Famous By),Rush
Black Magic Woman,Santana
Come On Eileen,Save Ferris
The Warrior,Scandal
No One Like You,Scorpions
Magnetic Baby,Semi Precious Weapons
Closing Time,Semisonic
Like a Fool,Shaimus
Man! I Feel Like A Woman!,Shania Twain
That Don't Impress Me Much,Shania Twain
Soak Up The Sun,Sheryl Crow
New Slang,The Shins
Let's Just Dance,Ships Have Sailed
Fall Apart,Shocked Laura
Lazy Eye,Silversun Pickups
S.O.M.P.,Skratch'N Snyf
If You Can't Hang,Sleeping With Sirens
Duality,Slipknot
Light the Fuse,Slydigs
Cherub Rock,Smashing Pumpkins
Today,Smashing Pumpkins
All Star,Smash Mouth
Drop It Like It's Hot,Snoop Dogg
I Was Wrong,Social Distortion
Teen Age Riot,Sonic Youth
Dead Black (Heart of Ice),Soul Remnants
Black Hole Sun,Soundgarden
Superunknown,Soundgarden
Conventional Lover,Speck
Short and Sweet,Spinal Tap
Little Miss Can't Be Wrong,Spin Doctors
Two Princes,Spin Doctors
To My Romeo,Spirit Kid
Cool for Cats,Squeeze
Bodhisattva,Steely Dan
Charlene (I'm Right Behind You),Stephen And The Colberts
Supreme Girl,The Sterns
Make Me Smile (Come Up and See Me),Steve Harley & Cockney Rebel
Rock'n Me,Steve Miller Band
Good,Stl Gld
Vasoline,Stone Temple Pilots
Reptilia,The Strokes
Birth In Reverse,St. Vincent
Renegade,Styx
Too Much Time on My Hands,Styx
Santeria,Sublime
Memory,Sugarcult
In Too Deep,Sum 41
Grace,Supergrass
Eye of the Tiger,Survivor
Ballroom Blitz,Sweet
Where the Heart Is,Sweet Pill
Meant to Live,Switchfoot
Exploited & Exposed,Symbion Project
Aerials,System Of A Down
B.Y.O.B.,System Of A Down
Chop Suey!,System Of A Down
Spiders,System Of A Down
Toxicity,System Of A Down
A Decade Under the Influence,Taking Back Sunday
Cute Without The 'E' (Cut From the Team),Taking Back Sunday
Liar (It Takes One to Know One),Taking Back Sunday
MakeDamnSure,Taking Back Sunday
What's It Feel Like to Be a Ghost?,Taking Back Sunday
Psycho Killer,Talking Heads
Master Exploder,Tenacious D
Souls of Black,Testament
Rob the Prez-O-Dent,That Handsome Devil
Crazy Tuesday,Thenewno2
Semi-Charmed Life '09,Third Eye Blind
Image of the Invisible,Thrice
The Time Is Wrong,Tickle Me Pink
Alone Time,Tigerman Woah
Pistol Whipped,Tijuana Sweetheart
Seven,Tijuana Sweetheart
Save Yourself,Tillie
Timmy & the Lords of the Underworld,Timmy & The Lords Of The Underworld
Stevie Sees,Toad And The Stooligans
Free Fallin',Tom Petty
Ride a White Swan,T. Rex
Outside,Tribe
Ride,Twenty One Pilots
What You Know,Two Door Cinema Club
Cedarwood Road,U2
I Will Follow,U2
"Desperate Times, Desperate Measures",Underoath
Reinventing Your Exit,Underoath
Writing on the Walls,Underoath
A-Punk,Vampire Weekend
Panama,Van Halen
Brown Eyed Girl,Van Morrison
Rock Band Network Megamix 01,Various Artists
Promised Land,Vesuvius
Shut Up and Dance,Walk The Moon
Free Falling,The Warning
Survive,The Warning
"Closer, Closer",The Warning Shots
Can't Feel My Face,The Weeknd
Beverly Hills,Weezer
Buddy Holly,Weezer
Hash Pipe,Weezer
(If You're Wondering If I Want You To) I Want You To,Weezer
Island in the Sun,Weezer
My Name Is Jonas,Weezer
Pork and Beans,Weezer
Say It Ain't So,Weezer
Undone - The Sweater Song,Weezer
Check Yes Juliet,We The Kings
Teenage Dirtbag,Wheatus
Constant Disaster,When Particles Collide
This Is Exile,Whitechapel
At Night In Dreams,White Denim
Seven Nation Army,The White Stripes
Pinball Wizard,The Who
The Seeker,The Who
Won't Get Fooled Again,The Who
Play That Funky Music,Wild Cherry
Joker & The Thief,Wolfmother
Black Corridor,Worshipper
I.V.,X Japan
Maps,Yeah Yeah Yeahs
Ocean Avenue,Yellowcard
Valerie,The Zutons
